topk_continual_k-0.5_c-0,topk_continual_k-0.5_c-0.0001,topk_continual_k-0.5_c-0.001,topk_continual_k-0.5_c-0.01,topk_continual_k-0.25_c-0,topk_continual_k-0.25_c-0.0001,topk_continual_k-0.25_c-0.001,topk_continual_k-0.25_c-0.01,topk_continual_k-0.75_c-0,topk_continual_k-0.75_c-0.0001,topk_continual_k-0.75_c-0.001,topk_continual_k-0.75_c-0.01,topk_continual_k-0.5_c-0.1,topk_continual_k-0.5_c-1e-05,topk_continual_k-0.5_c-1e-06,topk_continual_k-0.5_c-0.0005,topk_continual_k-0.5_c-0.0003,topk_continual_k-0.5_c-0.0002,topk_continual_k-0.5_c-0.00025
0.4246575342465753,0.3588516746411483,0.6780487804878049,0.5769230769230769,0.8571428571428571,0.7,0.5,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0.3486238532110092,0.3813953488372093,0.5870967741935483,0.5487804878048781,0.4578947368421052,0.446078431372549
0.3661971830985915,0.3856502242152466,0.5773195876288659,0.5789473684210527,0.9,0.9,0.5,0.25,0.0,1.0,0.0,0.0,1.0,0.4292237442922374,0.3482142857142857,0.5786163522012578,0.5903614457831325,0.4352331606217616,0.423469387755102
0.3943661971830985,0.3348214285714285,0.6174863387978142,0.6065573770491803,0.875,0.6,0.5,0.25,0.6,0.0,0.2,0.0,1.0,0.3946188340807174,0.3568281938325991,0.5095541401273885,0.6358381502890174,0.4175257731958763,0.4102564102564102
0.4246575342465753,0.2775330396475771,0.5139664804469274,0.5370370370370371,0.6666666666666666,0.7,0.8,0.1111111111111111,0.5,1.0,0.25,0.0,1.0,0.3981900452488687,0.3218884120171674,0.5833333333333334,0.6219512195121951,0.4158415841584158,0.4923857868020304
0.4102564102564102,0.2876712328767123,0.5517241379310345,0.4833333333333333,0.8888888888888888,0.7,0.4,0.375,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,0.336405529953917,0.3291139240506329,0.6337209302325582,0.5796178343949044,0.4072164948453608,0.4038461538461538
0.2957746478873239,0.2251082251082251,0.5989304812834224,0.5084745762711864,0.8,0.6,0.4,0.2222222222222222,1.0,1.0,0.25,0.0,1.0,0.3632478632478632,0.361344537815126,0.5714285714285714,0.5632911392405063,0.4148936170212766,0.4477611940298507
0.3714285714285714,0.2297872340425532,0.6120218579234973,0.5185185185185185,1.0,0.6666666666666666,0.6,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.3695652173913043,0.3583333333333333,0.535483870967742,0.6065573770491803,0.4215686274509804,0.4688995215311005
0.3670886075949367,0.1975308641975308,0.5425531914893617,0.6037735849056604,0.875,0.8888888888888888,0.5,0.4,0.75,0.0,0.0,0.0,1.0,0.4521739130434782,0.3916666666666666,0.5769230769230769,0.6,0.4485981308411215,0.4093023255813953
0.2972972972972973,0.1358024691358024,0.5824742268041238,0.6349206349206349,0.8,0.875,0.6,0.2857142857142857,1.0,0.4285714285714285,0.6666666666666666,0.0,1.0,0.4017857142857143,0.3770491803278688,0.5063291139240507,0.5384615384615384,0.4009661835748792,0.4126213592233009
0.3552631578947368,0.1129032258064516,0.5977653631284916,0.54,1.0,0.6666666666666666,0.4,0.2222222222222222,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0.4572649572649572,0.3373983739837398,0.6274509803921569,0.5878787878787879,0.3846153846153846,0.4423076923076923
0.3086419753086419,0.1330645161290322,0.5706806282722513,0.492063492063492,0.8571428571428571,0.4444444444444444,0.4,0.0,0.25,0.5,0.5,0.0,1.0,0.3690987124463519,0.3387755102040816,0.5838509316770186,0.5459770114942529,0.4766355140186916,0.4401913875598086
0.3058823529411765,0.0927419354838709,0.6410256410256411,0.4923076923076923,1.0,0.7,0.4,0.2222222222222222,0.75,0.2,0.25,0.6666666666666666,1.0,0.2941176470588235,0.3185483870967742,0.6023391812865497,0.5849056603773585,0.3523809523809524,0.3875598086124402
