failToRecourse,acc,jsd,avgRecourseCost,avgNewRecourseCost,avgOriginalRecourseCost,t_rate,model_shift,failToRecourse_old,failToRecourse_new,entropy,avg_score,acc_withoutRecourse
0.28217821782178215,0.7609523809523808,0.20280668825311288,0.4625801313535154,0.883013712341369,0.3013179359061196,0.11358574610244988,tensor(0.4820),0.18493150684931506,0.5357142857142857,0.42597243189811707,-9.068009376525879,0.919072644884873
0.28292682926829266,0.7640476190476191,0.22113038635923088,0.38854095786868914,0.7649651378828662,0.2176817555927505,0.1111111111111111,tensor(0.3289),0.16312056737588654,0.546875,0.43598341941833496,-9.032757759094238,0.9209994100947028
0.3415841584158416,0.760952380952381,0.19814919553343383,0.5069097349616094,0.8673477033991014,0.36522032667928506,0.11358574610244988,tensor(0.4525),0.25517241379310346,0.5614035087719298,0.4422689378261566,-8.961134910583496,0.9201156691095467
0.3024390243902439,0.7702380952380952,0.20605433322511782,0.5106568073947526,0.9660481479514614,0.27961267137701035,0.1185682326621924,tensor(0.4730),0.16911764705882354,0.5652173913043478,0.4529435634613037,-8.986451148986816,0.9351711664983853
0.23267326732673269,0.7688095238095238,0.1847830121685925,0.4791426334207724,1.0133386796274764,0.2691483256015855,0.1185682326621924,tensor(0.5019),0.1310344827586207,0.49122807017543857,0.4575611650943756,-8.942931175231934,0.9334354184817668
0.24875621890547264,0.7752380952380953,0.19487594810565717,0.49607327911649995,0.9806279366034786,0.2799409858489268,0.12359550561797752,tensor(0.3511),0.12949640287769784,0.5161290322580645,0.4615376591682434,-8.90041732788086,0.947614701229159
0.2722772277227723,0.7733333333333334,0.2069135053540594,0.4648867497179357,0.8779867422639718,0.28194246730469125,0.12866817155756208,tensor(0.4612),0.15714285714285714,0.532258064516129,0.4586428105831146,-8.870160102844238,0.9470351599308308
0.32019704433497537,0.7799999999999999,0.18296419599250213,0.5663323575406696,1.063596836361687,0.3576899188745086,0.12612612612612611,tensor(0.3321),0.20279720279720279,0.6,0.4775558114051819,-8.864253044128418,0.9516989437070561
0.22885572139303484,0.7754761904761904,0.141843689992073,0.47993356075163807,0.9048295884141199,0.29041159157844487,0.13636363636363635,tensor(0.4429),0.1366906474820144,0.43548387096774194,0.47740456461906433,-8.842450141906738,0.9437114545845157
0.15196078431372548,0.7714285714285712,0.10027892258432203,0.4353224081637774,0.9111247227767157,0.21282492291312283,0.13378684807256236,tensor(0.3593),0.05755395683453238,0.35384615384615387,0.4719128906726837,-8.82100772857666,0.935671742692113
0.2019704433497537,0.7597619047619046,0.14071669691285635,0.5396358348403746,1.1214535157222925,0.3234198047829053,0.12612612612612611,tensor(0.4319),0.10810810810810811,0.45454545454545453,0.4794642925262451,-8.815582275390625,0.9139761690828189
0.20297029702970298,0.7545238095238096,0.11438383220092366,0.5677464296361354,1.0058887726129924,0.34043949982107397,0.13122171945701358,tensor(0.3138),0.12030075187969924,0.36231884057971014,0.4937366545200348,-8.814181327819824,0.9076092715481325
0.1346153846153846,0.7459523809523808,0.11079408184103111,0.5160241035193432,1.09848757439614,0.262953767897011,0.11607142857142858,tensor(0.3828),0.06206896551724138,0.30158730158730157,0.4893570840358734,-8.808738708496094,0.9018533250464407
0.16336633663366337,0.7335714285714285,0.09188589241826225,0.5164000958033637,1.0239930356594364,0.2968031501918711,0.08695652173913043,tensor(0.4367),0.07801418439716312,0.36065573770491804,0.48018234968185425,-8.784607887268066,0.8805726262854934
0.2562814070351759,0.7395238095238095,0.09837565396674013,0.5521297641539017,0.9841819588501566,0.3871098286796376,0.07526881720430108,tensor(0.4419),0.16666666666666666,0.4909090909090909,0.5003328919410706,-8.76828670501709,0.8920032520797418
0.13366336633663367,0.73,0.11030594001961906,0.4184162706968837,0.681767265894817,0.3247410844855383,0.06837606837606838,tensor(0.4623),0.11409395973154363,0.18867924528301888,0.4872981905937195,-8.702813148498535,0.886622108067261
0.21393034825870647,0.7323809523809524,0.141929283350387,0.5480008344794921,1.0064862373611474,0.34349655405745855,0.06837606837606838,tensor(0.3354),0.09352517985611511,0.4838709677419355,0.48959752917289734,-8.64472484588623,0.8957851145834014
0.28431372549019607,0.7266666666666667,0.15056360713048814,0.5064469028881703,0.8878138133550552,0.30286005594720156,0.06837606837606838,tensor(0.4389),0.16541353383458646,0.5070422535211268,0.494666188955307,-8.603972434997559,0.8814404861890189
0.28780487804878047,0.7178571428571429,0.14186663755482226,0.5016866248941233,0.992205811687292,0.26877823404269047,0.07526881720430108,tensor(0.3471),0.1510791366906475,0.5757575757575758,0.4967915117740631,-8.580307960510254,0.8666484595349179
0.28780487804878047,0.7107142857142856,0.14730835737592876,0.48662101708745226,0.7639825882532043,0.34895250001248035,0.07758620689655173,tensor(0.5241),0.20437956204379562,0.45588235294117646,0.48871681094169617,-8.50903034210205,0.8347489782742384
0.2621359223300971,0.7014285714285714,0.13449451385797606,0.4409110204532549,0.8027396862764637,0.29221430847111424,0.07758620689655173,tensor(0.5688),0.17123287671232876,0.48333333333333334,0.5005549192428589,-8.538642883300781,0.8027337914392937
0.20574162679425836,0.6983333333333333,0.13252240680696156,0.5113559484345495,0.8721289357940164,0.33736613892785616,0.11358574610244988,tensor(0.7113),0.14184397163120568,0.3382352941176471,0.4798968434333801,-8.475679397583008,0.7750490040229409
0.3282828282828283,0.7116666666666667,0.13503280031993087,0.5703662191786895,1.1091161864457757,0.3130528019764991,0.0989010989010989,tensor(0.4411),0.1791044776119403,0.640625,0.5094062089920044,-8.523441314697266,0.7811073569112619
0.18048780487804877,0.7069047619047618,0.1268354231037158,0.5270347191612299,1.0045567573534786,0.2629505616761227,0.1185682326621924,tensor(0.6544),0.06818181818181818,0.3835616438356164,0.48808354139328003,-8.48896598815918,0.7631388790270204
0.22660098522167488,0.6938095238095238,0.12049874553669483,0.49732407551785546,1.0008821137577464,0.22647088828276282,0.1111111111111111,tensor(0.5144),0.09090909090909091,0.4788732394366197,0.4867114722728729,-8.49856948852539,0.7586895969122878
0.16176470588235295,0.6826190476190477,0.11913914554765526,0.5774278473741612,1.0530913121715744,0.3448041091155719,0.1111111111111111,tensor(0.3985),0.08759124087591241,0.31343283582089554,0.4865610599517822,-8.559638977050781,0.7722652762157419
0.12871287128712872,0.6728571428571428,0.13625446203697333,0.4915326317405991,0.9420450279583201,0.31443465529639125,0.11607142857142858,tensor(0.5414),0.05517241379310345,0.3157894736842105,0.47203177213668823,-8.597265243530273,0.7716870831933067
0.17676767676767677,0.6866666666666665,0.1775685295948601,0.437629956598188,0.8848910958065496,0.22890809163428602,0.1210762331838565,tensor(0.4708),0.08148148148148149,0.38095238095238093,0.4687734544277191,-8.675959587097168,0.795188835284382
0.16417910447761194,0.6866666666666666,0.19408459419505333,0.47529167783605347,0.8922801216673725,0.3020359159624772,0.13122171945701358,tensor(0.6058),0.1056338028169014,0.3050847457627119,0.43653249740600586,-8.751801490783691,0.8090596195275188
0.26732673267326734,0.7233333333333333,0.17288360565977492,0.47256891709504806,0.9425718964278206,0.27397610892627067,0.10619469026548672,tensor(0.3878),0.14788732394366197,0.55,0.47066769003868103,-8.867414474487305,0.8608072855488713
0.15920398009950248,0.7442857142857141,0.17217223983567373,0.5369033412383435,0.9956833658237494,0.350824729868039,0.1185682326621924,tensor(0.6708),0.08391608391608392,0.3448275862068966,0.4544036090373993,-8.941847801208496,0.8894943897475565
0.285,0.7573809523809525,0.1831590165049375,0.4941141556826989,0.9624632824918274,0.31197838414581547,0.12866817155756208,tensor(0.4847),0.1736111111111111,0.5714285714285714,0.4551946222782135,-9.007417678833008,0.8862784308158299
0.29411764705882354,0.7573809523809524,0.16766482543362768,0.6273324996349837,1.1994317559855665,0.3475467319306844,0.12359550561797752,tensor(0.6603),0.18248175182481752,0.5223880597014925,0.4427293539047241,-9.076430320739746,0.880802835172684
0.31862745098039214,0.7595238095238094,0.12964089939147938,0.6211263284113059,1.128423107137303,0.3839012160574224,0.11358574610244988,tensor(0.4268),0.20863309352517986,0.5538461538461539,0.4658038020133972,-9.153764724731445,0.8841390990496846
